원위도,원경도,snapped_lat,snapped_lon
37.27659466,127.1151847,37.276601,127.115185
37.7870601,126.9915951,37.787013,126.991579
37.107952,127.2184813,37.10795,127.218434
37.82798298,127.1464689,37.828112,127.146357
37.82181933,127.0937826,37.821751,127.093728
37.41632406,126.9852124,37.41634,126.985191
37.62929912,127.2849894,37.629297,127.285013
37.83984393,127.0060985,37.83987,127.00609
36.65068475,127.5514844,36.650701,127.551489
37.39350708,127.2380968,37.393526,127.238105
34.90409184,126.9952627,34.904073,126.995243
36.60973417,127.4240904,36.609634,127.424176
36.82605943,127.1402532,36.825717,127.140214
36.81698987,127.1335295,36.817042,127.133544
36.96740881,127.4864572,36.967461,127.486486
34.81246481,126.4174051,34.812301,126.41733
36.61723562,127.5127824,36.617117,127.51246
34.80926568,126.42319,34.809096,126.423312
36.64917617,127.4663807,36.649295,127.466385
36.63826716,127.4601592,36.638249,127.460335
37.52403496,126.9034097,37.524063,126.903255
33.3309392,126.3545752,33.330935,126.354592
35.1603909,126.8870138,35.160486,126.886891
37.55839758,127.0343713,37.558603,127.034287
37.55474173,127.1427595,37.55473,127.14276
37.52880782,126.6763518,37.52879,126.676251
36.25876103,128.4455603,36.259059,128.445727
37.51555991,127.1309208,37.515629,127.130968
37.56277452,127.0324282,37.562793,127.032382
35.12120877,126.8602549,35.121212,126.860251
35.179997,126.8171053,35.17998,126.817104
35.15952737,126.8982252,35.159597,126.898264
35.21753067,126.8463423,35.217663,126.846343
37.26598919,127.0312661,37.265965,127.031256
36.34677903,127.4329276,36.346845,127.432893
35.20719066,126.8784775,35.207167,126.878588
37.27556361,126.9365306,37.275825,126.936018
37.26744047,127.0254183,37.267505,127.025157
37.25367336,127.0734487,37.253727,127.073356
35.17604329,126.8804681,35.175996,126.880547
37.38178884,127.1200697,37.381442,127.120452
37.40880868,127.1282067,37.40878,127.128002
38.02914278,127.0655903,38.02912,127.0655
37.37111467,127.104391,37.371115,127.10437
37.26276669,128.0333802,37.263054,128.033712
